Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
../images_ouput\2022_12_22_16_25_35_732.jpg;21.0;0.2;0;-0.7704;106.6957;84.1064;359.0601;92.6956;0.1326
../images_ouput\2022_12_22_16_25_35_745.jpg;21.0;0.2;0;-0.7726;106.6931;84.0912;359.0635;93.2091;0.147
../images_ouput\2022_12_22_16_25_35_783.jpg;21.0;0.2;0;-0.7914;106.6881;84.0599;359.0612;94.2908;0.1676
../images_ouput\2022_12_22_16_25_35_799.jpg;21.0;0.2;0;-0.8121;106.6858;84.0437;359.0508;94.8343;0.1721
../images_ouput\2022_12_22_16_25_35_812.jpg;21.0;0.2;0;-0.8121;106.6858;84.0437;359.0508;94.8343;0.1721
../images_ouput\2022_12_22_16_25_35_823.jpg;21.0;0.2;0;-0.82;106.6836;84.0272;359.0394;95.4547;0.1737
../images_ouput\2022_12_22_16_25_35_865.jpg;21.0;0.2;0;-0.8411;106.6797;83.9933;359.0044;96.6246;0.1654
../images_ouput\2022_12_22_16_25_35_885.jpg;21.0;0.2;0;-0.8597;106.6779;83.9758;358.9798;97.1953;0.1554
../images_ouput\2022_12_22_16_25_35_900.jpg;21.0;0.2;0;-0.8597;106.6779;83.9758;358.9798;97.1953;0.1554
../images_ouput\2022_12_22_16_25_35_910.jpg;21.0;0.2;0;-0.8644;106.6764;83.9583;358.9591;97.8492;0.141
../images_ouput\2022_12_22_16_25_35_949.jpg;21.0;0.2;0;-0.8897;106.6738;83.9225;358.9122;99.1486;0.0982
../images_ouput\2022_12_22_16_25_35_972.jpg;21.0;0.2;0;-0.9081;106.6728;83.904;358.8797;99.751;0.0705
../images_ouput\2022_12_22_16_25_35_987.jpg;21.0;0.2;0;-0.9081;106.6728;83.904;358.8797;99.751;0.0705
../images_ouput\2022_12_22_16_25_35_998.jpg;21.0;0.2;0;-0.9276;106.6714;83.8664;358.8118;101.045;0.0064
../images_ouput\2022_12_22_16_25_36_054.jpg;21.0;0.2;0;-0.7228;106.666;83.8373;359.0141;102.874;0.0358
../images_ouput\2022_12_22_16_25_36_068.jpg;21.0;0.2;0;-0.7228;106.666;83.8373;359.0141;102.874;0.0358
../images_ouput\2022_12_22_16_25_36_080.jpg;21.0;0.2;0;-0.5875;106.6574;83.826;359.6732;104.4179;359.9937
../images_ouput\2022_12_22_16_25_36_115.jpg;21.0;0.2;0;-0.4183;106.6536;83.8196;0.3156;104.8081;359.874
../images_ouput\2022_12_22_16_25_36_136.jpg;21.0;0.2;0;-0.3772;106.6535;83.8165;0.5654;104.7881;359.819
../images_ouput\2022_12_22_16_25_36_149.jpg;21.0;0.2;0;-0.3772;106.6535;83.8165;0.5654;104.7881;359.819
../images_ouput\2022_12_22_16_25_36_160.jpg;21.0;0.2;0;-0.368;106.6539;83.8137;0.8153;104.8544;359.7477
../images_ouput\2022_12_22_16_25_36_239.jpg;21.0;0.2;0;-0.229;106.6508;83.8117;1.4855;105.3007;359.743
../images_ouput\2022_12_22_16_25_36_251.jpg;21.0;0.2;0;-0.229;106.6508;83.8117;1.4855;105.3007;359.743
../images_ouput\2022_12_22_16_25_36_262.jpg;21.0;0.2;0;-0.229;106.6508;83.8117;1.4855;105.3007;359.743
